PopulationName, Timepoint, SequencingReplicate, FileName, Directory
C1, 1, 1, C1-WGS-1_S41, your_path_to_directory_here/
C1, 2, 1, C1-WGS-2_S42, your_path_to_directory_here/
C1, 3, 1, C1-WGS-3_S43, your_path_to_directory_here/
C1, 4, 1, C1-WGS-4_S44, your_path_to_directory_here/
C1, 5, 1, C1-WGS-5_S45, your_path_to_directory_here/
C1, 6, 1, C1-WGS-6_S46, your_path_to_directory_here/
C1, 7, 1, C1-WGS-7_S47, your_path_to_directory_here/
C1, 8, 1, C1-WGS-8_S48, your_path_to_directory_here/
C1, 9, 1, C1-WGS-9_S49, your_path_to_directory_here/
C1, 10, 1, C1-WGS-10_S50, your_path_to_directory_here/
D1, 1, 1, D1-WGS-1_S51, your_path_to_directory_here/
D1, 2, 1, D1-WGS-2_S52, your_path_to_directory_here/
D1, 3, 1, D1-WGS-3_S53, your_path_to_directory_here/
D1, 4, 1, D1-WGS-4_S54, your_path_to_directory_here/
D1, 5, 1, D1-WGS-5_S55, your_path_to_directory_here/
D1, 6, 1, D1-WGS-6_S56, your_path_to_directory_here/
D1, 7, 1, D1-WGS-7_S57, your_path_to_directory_here/
D1, 8, 1, D1-WGS-8_S58, your_path_to_directory_here/
D1, 9, 1, D1-WGS-9_S59, your_path_to_directory_here/
D1, 10, 1, D1-WGS-10_S60, your_path_to_directory_here/